result_dir,accuracy,split_folder,model_family,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,model,target,split_col,task_type,train_rows,validation_rows,test_rows,embedding_file,embedding_missing_train,embedding_missing_test,threshold,threshold_validation_score
node2vec/design_binary/edu_to_eng_cluster_safe,0.6491228070175439,design_binary,edu_to_eng_cluster_safe,0.5187617260787993,0.6725585069615879,0.819672131147541,0.7246376811594203,0.7692307692307693,0.5757575757575757,0.8483098274399667,emb_lr,target_design_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/edu_to_eng_cluster_safe,0.6461988304093568,design_binary,edu_to_eng_cluster_safe,0.5167630057803468,0.6703309333062908,0.8189300411522634,0.7210144927536232,0.766859344894027,0.57844751866491,0.8496382683716719,emb_svm,target_design_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/edu_to_eng_cluster_safe,0.8070175438596491,design_binary,edu_to_eng_cluster_safe,0.4466019417475728,0.7208312042241527,0.8070175438596491,1.0,0.8932038834951457,0.5705972771190163,0.85606996506964,emb_rf,target_design_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/edu_to_eng_cluster_safe,0.8070175438596491,design_binary,edu_to_eng_cluster_safe,0.4466019417475728,0.7208312042241527,0.8070175438596491,1.0,0.8932038834951457,0.5878897672375933,0.8581452808702996,emb_extra_trees,target_design_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/mmr_multiclass/random_cluster_stratified,0.3048128342245989,mmr_multiclass,random_cluster_stratified,0.0778688524590164,0.1424125536950995,,,,,,dummy,target_mmr_multiclass,split_random_cluster_stratified,multiclass,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/mmr_multiclass/random_cluster_stratified,0.2780748663101604,mmr_multiclass,random_cluster_stratified,0.2726379888573774,0.2898312691024158,,,,,,emb_lr,target_mmr_multiclass,split_random_cluster_stratified,multiclass,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/mmr_multiclass/random_cluster_stratified,0.2807486631016043,mmr_multiclass,random_cluster_stratified,0.2559597948357251,0.282416255591821,,,,,,emb_svm,target_mmr_multiclass,split_random_cluster_stratified,multiclass,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/mmr_multiclass/random_cluster_stratified,0.320855614973262,mmr_multiclass,random_cluster_stratified,0.1745843576766824,0.23218826543733,,,,,,emb_rf,target_mmr_multiclass,split_random_cluster_stratified,multiclass,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/mmr_multiclass/random_cluster_stratified,0.3422459893048128,mmr_multiclass,random_cluster_stratified,0.2271674013737585,0.2777885729043529,,,,,,emb_extra_trees,target_mmr_multiclass,split_random_cluster_stratified,multiclass,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/mmr_multiclass/temporal_cluster_safe,0.0256410256410256,mmr_multiclass,temporal_cluster_safe,0.0083333333333333,0.0012820512820512,,,,,,dummy,target_mmr_multiclass,split_temporal_cluster_safe,multiclass,1257,346,897,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
