result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_lr,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_edu_to_eng_cluster_safe,342,0.7690058479532164,0.6394667663032599,0.7721653377495568,0.8555758683729433,0.8634686346863468,0.8478260869565217,0.7426438296003514,0.9186460840473636,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_svm,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_edu_to_eng_cluster_safe,342,0.7573099415204678,0.6292465028799812,0.7630441253401911,0.8471454880294659,0.8614232209737828,0.8333333333333334,0.7199165568730785,0.9102413770420952,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_mlp,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_edu_to_eng_cluster_safe,342,0.8450292397660819,0.7267670601003935,0.8371450944550358,0.9065255731922398,0.8831615120274914,0.9311594202898552,0.8521629336846729,0.9530610887060031,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_extra_trees,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_edu_to_eng_cluster_safe,342,0.8099415204678363,0.4622511429884612,0.7277601585181658,0.8946515397082658,0.8093841642228738,1.0,0.8263614404918752,0.939262907103513,1836,322,2,,
mmr_multiclass/random_cluster_stratified/late_fusion/dummy,mmr_multiclass,random_cluster_stratified,late_fusion,dummy,target_mmr_multiclass,split_random_cluster_stratified,374,0.3048128342245989,0.0778688524590164,0.1424125536950995,,,,,,1750,376,6,0.5,0.1666666666666666
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_lr,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_lr,target_mmr_multiclass,split_random_cluster_stratified,374,0.3663101604278075,0.3261994109876189,0.3645711016368749,,,,,,1750,376,6,0.693768260585343,0.3084683257731176
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_svm,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_svm,target_mmr_multiclass,split_random_cluster_stratified,374,0.3823529411764705,0.3474365173247591,0.3788169017152822,,,,,,1750,376,6,0.6798652117842353,0.2997253260345437
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_mlp,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_mlp,target_mmr_multiclass,split_random_cluster_stratified,374,0.4331550802139037,0.3586026159267334,0.407158031200369,,,,,,1750,376,6,0.7287287778687291,0.3677113035217442
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_extra_trees,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_random_cluster_stratified,374,0.4705882352941176,0.3262415357157929,0.3826330672953816,,,,,,1750,376,6,0.747988028399804,0.3820309903393858
mmr_multiclass/temporal_cluster_safe/late_fusion/dummy,mmr_multiclass,temporal_cluster_safe,late_fusion,dummy,target_mmr_multiclass,split_temporal_cluster_safe,897,0.0256410256410256,0.0083333333333333,0.0012820512820512,,,,,,1257,346,6,0.5,0.1666666666666666
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_lr,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_lr,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3645484949832775,0.2542797863778088,0.3717098173501064,,,,,,1257,346,6,0.6288617030308411,0.2338972543847498
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_svm,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_svm,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3478260869565217,0.2386053620183168,0.3588045505913863,,,,,,1257,346,6,0.6033353740861916,0.2180165806054467
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_mlp,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_mlp,target_mmr_multiclass,split_temporal_cluster_safe,897,0.3634336677814939,0.220541329915951,0.3576654892795481,,,,,,1257,346,6,0.6438963683262805,0.2613851073871675
mmr_multiclass/temporal_cluster_safe/late_fusion/fusion_extra_trees,mmr_multiclass,temporal_cluster_safe,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_temporal_cluster_safe,897,0.4738015607580825,0.1907657337994206,0.3718855596802389,,,,,,1257,346,6,0.6341234331064457,0.2332974216369621
mmr_multiclass/cross_program_cluster_safe/late_fusion/dummy,mmr_multiclass,cross_program_cluster_safe,late_fusion,dummy,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.2293577981651376,0.0621890547263681,0.0855812679720662,,,,,,2228,54,6,0.5,0.1666666666666666
mmr_multiclass/cross_program_cluster_safe/late_fusion/fusion_lr,mmr_multiclass,cross_program_cluster_safe,late_fusion,fusion_lr,target_mmr_multiclass,split_cross_program_cluster_safe,218,0.3440366972477064,0.2874444146538573,0.3644568948256798,,,,,,2228,54,6,0.6471282807448336,0.3182990542615664
