result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
design_binary/random_cluster_stratified/text_metadata,design_binary,random_cluster_stratified,text_metadata,0.6844919786096256,0.5947474747474747,0.7283444066331767,0.7854545454545454,0.9310344827586208,0.6792452830188679,0.7662848158131177,0.9448334570225836,metadata_lr,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,777.0,768.0,9.0,,,
design_binary/random_cluster_stratified/text_metadata,design_binary,random_cluster_stratified,text_metadata,0.767379679144385,0.6156217882836588,0.784815692136894,0.8571428571428571,0.8969072164948454,0.8207547169811321,0.7567946990116802,0.9458688038411658,metadata_svm,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,777.0,768.0,9.0,,,
design_binary/random_cluster_stratified/text_metadata,design_binary,random_cluster_stratified,text_metadata,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.7099618149146452,0.9341527417190484,metadata_mlp,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,777.0,768.0,9.0,,,
design_binary/random_cluster_stratified/text_metadata,design_binary,random_cluster_stratified,text_metadata,0.8529411764705882,0.6423044151146817,0.834593026526694,0.9167927382753404,0.8833819241982507,0.9528301886792452,0.8011006289308176,0.9540768737145046,metadata_extra_trees,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,777.0,768.0,9.0,,,
design_binary/random_cluster_stratified/text_metadata/dummy,design_binary,random_cluster_stratified,text_metadata,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,dummy,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/text_metadata/metadata_lr,design_binary,random_cluster_stratified,text_metadata,0.6844919786096256,0.5947474747474747,0.7283444066331767,0.7854545454545454,0.9310344827586208,0.6792452830188679,0.7662848158131177,0.9448334570225836,metadata_lr,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/text_metadata/metadata_svm,design_binary,random_cluster_stratified,text_metadata,0.767379679144385,0.6156217882836588,0.784815692136894,0.8571428571428571,0.8969072164948454,0.8207547169811321,0.7567946990116802,0.9458688038411658,metadata_svm,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/text_metadata/metadata_mlp,design_binary,random_cluster_stratified,text_metadata,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.7099618149146452,0.9341527417190484,metadata_mlp,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/text_metadata/metadata_extra_trees,design_binary,random_cluster_stratified,text_metadata,0.8529411764705882,0.6423044151146817,0.834593026526694,0.9167927382753404,0.8833819241982507,0.9528301886792452,0.8011006289308176,0.9540768737145046,metadata_extra_trees,,,binary,,,,,,,,,
design_binary/temporal_cluster_safe/text_metadata,design_binary,temporal_cluster_safe,text_metadata,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.5,0.9743589743589745,dummy,target_design_binary,split_temporal_cluster_safe,binary,1257.0,346.0,897.0,777.0,768.0,9.0,,,
