result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/edu_to_eng_cluster_safe/metadata_only/metadata_mlp,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.3187134502923976,0.3185678003061425,0.3161208805370561,0.3285302593659942,0.2614678899082568,0.4418604651162791,0.3197219492666594,0.3132922772877085,metadata_mlp,,,binary,,,,,,,,,
integration_binary/edu_to_eng_cluster_safe/metadata_only/metadata_extra_trees,integration_binary,edu_to_eng_cluster_safe,metadata_only,0.5584795321637427,0.4367330911946598,0.5010519656688923,0.174863387978142,0.2962962962962963,0.1240310077519379,0.5127561233031263,0.3590636897066053,metadata_extra_trees,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/metadata_only,design_binary,random_cluster_stratified,metadata_only,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,dummy,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
design_binary/random_cluster_stratified/metadata_only,design_binary,random_cluster_stratified,metadata_only,0.7433155080213903,0.6405142376546918,0.7751839018350669,0.8327526132404182,0.93359375,0.7515723270440252,0.775662623539982,0.9438217488394892,metadata_lr,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
design_binary/random_cluster_stratified/metadata_only,design_binary,random_cluster_stratified,metadata_only,0.7593582887700535,0.6045582706766918,0.7778813678581481,0.8519736842105263,0.8931034482758621,0.8144654088050315,0.7198450134770891,0.9346666734972692,metadata_svm,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
design_binary/random_cluster_stratified/metadata_only,design_binary,random_cluster_stratified,metadata_only,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.6860961365678347,0.9194628264478352,metadata_mlp,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
design_binary/random_cluster_stratified/metadata_only,design_binary,random_cluster_stratified,metadata_only,0.8636363636363636,0.6615384615384616,0.8447552447552448,0.9230769230769232,0.8869565217391304,0.9622641509433962,0.793351302785265,0.9523966178337708,metadata_extra_trees,target_design_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
design_binary/random_cluster_stratified/metadata_only/dummy,design_binary,random_cluster_stratified,metadata_only,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,dummy,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/metadata_only/metadata_lr,design_binary,random_cluster_stratified,metadata_only,0.7433155080213903,0.6405142376546918,0.7751839018350669,0.8327526132404182,0.93359375,0.7515723270440252,0.775662623539982,0.9438217488394892,metadata_lr,,,binary,,,,,,,,,
design_binary/random_cluster_stratified/metadata_only/metadata_svm,design_binary,random_cluster_stratified,metadata_only,0.7593582887700535,0.6045582706766918,0.7778813678581481,0.8519736842105263,0.8931034482758621,0.8144654088050315,0.7198450134770891,0.9346666734972692,metadata_svm,,,binary,,,,,,,,,
